id_lancamento;data;ano;mes;trimestre;grupo_dre;conta_contabil;natureza;valor;filial_id;filial_nome;regiao;centro_custo_id;centro_custo;produto_id;produto_nome;categoria_produto
L000227;2024-01-01;2024;1;Q1;Deduções;Descontos Comerciais;Despesa;-5129,1;F004;Filial Curitiba;Sul;CC005;Tecnologia;P004;Consultoria Técnica;Serviços
L000354;2024-01-01;2024;1;Q1;Outras Receitas;Venda de Ativo Imobilizado;Receita;10243,27;F005;Filial Porto Alegre;Sul;CC002;Marketing;;;
L001497;2024-01-01;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;92991,82;F006;Filial Salvador;Nordeste;CC004;Logística;P002;Software Standard;SaaS
L002031;2024-01-01;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-13512,57;F009;Filial Manaus;Norte;CC003;Operações;P002;Software Standard;SaaS
L002240;2024-01-01;2024;1;Q1;Despesas Administrativas;Software e SaaS;Despesa;-4482,39;F004;Filial Curitiba;Sul;CC005;Tecnologia;;;
L002252;2024-01-01;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;53027,71;F007;Filial Recife;Nordeste;CC007;RH;P007;Equipamento Rede;Produtos
L002416;2024-01-01;2024;1;Q1;Despesas Administrativas;Aluguel;Despesa;-15439,46;F001;Matriz São Paulo;Sudeste;CC006;Financeiro;;;
L002484;2024-01-01;2024;1;Q1;Deduções;ISS;Despesa;-13187,86;F007;Filial Recife;Nordeste;CC002;Marketing;P006;Hardware Servidor;Produtos
L002600;2024-01-01;2024;1;Q1;Despesas Financeiras;IOF;Despesa;-510,23;F002;Filial Rio de Janeiro;Sudeste;CC006;Financeiro;;;
L002732;2024-01-01;2024;1;Q1;Despesas Administrativas;Software e SaaS;Despesa;-1185,9;F005;Filial Porto Alegre;Sul;CC005;Tecnologia;;;
L003078;2024-01-01;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;42459,8;F005;Filial Porto Alegre;Sul;CC004;Logística;P009;Licença Anual;SaaS
L003370;2024-01-01;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-29313,98;F003;Filial Belo Horizonte;Sudeste;CC004;Logística;P003;Consultoria Estratégica;Serviços
L003426;2024-01-01;2024;1;Q1;Deduções;ISS;Despesa;-4750,1;F007;Filial Recife;Nordeste;CC004;Logística;P006;Hardware Servidor;Produtos
L003578;2024-01-01;2024;1;Q1;Receita Bruta;Receita de Assinaturas;Receita;43850,78;F002;Filial Rio de Janeiro;Sudeste;CC004;Logística;P007;Equipamento Rede;Produtos
L003745;2024-01-01;2024;1;Q1;CMV;Frete sobre Compras;Despesa;-6121,78;F005;Filial Porto Alegre;Sul;CC003;Operações;P003;Consultoria Estratégica;Serviços
L003786;2024-01-01;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;73231,79;F004;Filial Curitiba;Sul;CC005;Tecnologia;P008;Suporte Técnico;Serviços
L003900;2024-01-01;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;76375,31;F003;Filial Belo Horizonte;Sudeste;CC009;Diretoria;P005;Treinamento Corporativo;Serviços
L004178;2024-01-01;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-11499,91;F001;Matriz São Paulo;Sudeste;CC004;Logística;P009;Licença Anual;SaaS
L004396;2024-01-01;2024;1;Q1;CMV;Custo Embalagem;Despesa;-10060,0;F005;Filial Porto Alegre;Sul;CC003;Operações;P001;Software Premium;SaaS
L004460;2024-01-01;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-38061,23;F004;Filial Curitiba;Sul;CC004;Logística;P006;Hardware Servidor;Produtos
L004532;2024-01-01;2024;1;Q1;Receita Bruta;Receita de Assinaturas;Receita;80198,54;F008;Filial Brasília;Centro-Oeste;CC002;Marketing;P003;Consultoria Estratégica;Serviços
L004539;2024-01-01;2024;1;Q1;Deduções;ISS;Despesa;-11183,97;F006;Filial Salvador;Nordeste;CC003;Operações;P003;Consultoria Estratégica;Serviços
L004597;2024-01-01;2024;1;Q1;Despesas Financeiras;Tarifas Bancárias;Despesa;-2187,31;F003;Filial Belo Horizonte;Sudeste;CC006;Financeiro;;;
L000854;2024-01-02;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;138539,48;F008;Filial Brasília;Centro-Oeste;CC003;Operações;P006;Hardware Servidor;Produtos
L001424;2024-01-02;2024;1;Q1;Deduções;PIS/COFINS;Despesa;-15986,57;F003;Filial Belo Horizonte;Sudeste;CC005;Tecnologia;P010;Implantação;Serviços
L002373;2024-01-02;2024;1;Q1;Despesas Comerciais;Fretes sobre Vendas;Despesa;-2903,42;F007;Filial Recife;Nordeste;CC001;Comercial;;;
L002522;2024-01-02;2024;1;Q1;CMV;Frete sobre Compras;Despesa;-2795,5;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P008;Suporte Técnico;Serviços
L002986;2024-01-02;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;161139,17;F003;Filial Belo Horizonte;Sudeste;CC005;Tecnologia;P006;Hardware Servidor;Produtos
L003075;2024-01-02;2024;1;Q1;Despesas Administrativas;Viagens e Hospedagem;Despesa;-4506,21;F001;Matriz São Paulo;Sudeste;CC005;Tecnologia;;;
L003283;2024-01-02;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-20385,85;F007;Filial Recife;Nordeste;CC004;Logística;P010;Implantação;Serviços
L003460;2024-01-02;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-2705,3;F009;Filial Manaus;Norte;CC008;Administrativo;;;
L003531;2024-01-02;2024;1;Q1;Receita Bruta;Receita de Assinaturas;Receita;97771,17;F004;Filial Curitiba;Sul;CC007;RH;P007;Equipamento Rede;Produtos
L003684;2024-01-02;2024;1;Q1;Outras Receitas;Venda de Ativo Imobilizado;Receita;13758,32;F006;Filial Salvador;Nordeste;CC004;Logística;;;
L003720;2024-01-02;2024;1;Q1;Despesas Financeiras;Juros sobre Empréstimos;Despesa;-3710,33;F001;Matriz São Paulo;Sudeste;CC006;Financeiro;;;
L003862;2024-01-02;2024;1;Q1;Despesas Financeiras;IOF;Despesa;-98,17;F005;Filial Porto Alegre;Sul;CC006;Financeiro;;;
L004440;2024-01-02;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-15507,28;F001;Matriz São Paulo;Sudeste;CC003;Operações;P010;Implantação;Serviços
